sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences
F,15,GT3,T,4,2,health,services,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2
M,16,GT3,T,3,2,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,5,4,3,1,1,5,0
F,18,GT3,T,3,2,other,services,mother,1,3,0,no,no,no,no,yes,yes,5,4,3,2,3,1,7
M,15,GT3,T,4,4,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,5,3,3,1,1,5,4
M,16,LE3,T,2,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,4,2,3,1,2,5,0
M,18,LE3,T,3,4,services,other,mother,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,3,5,11
M,16,GT3,T,0,2,other,other,mother,1,1,0,no,no,yes,no,yes,yes,4,3,2,2,4,5,0
M,16,LE3,T,2,1,at_home,other,mother,1,1,1,no,no,no,yes,yes,no,4,4,4,3,5,5,6
F,17,GT3,T,3,1,services,services,father,1,3,0,no,yes,no,no,yes,yes,3,4,3,2,3,5,1
M,16,GT3,T,3,1,other,other,father,2,4,0,no,yes,yes,no,yes,yes,4,3,2,1,1,5,0
F,16,GT3,T,4,4,health,other,mother,1,1,0,no,yes,no,no,yes,yes,4,4,4,1,2,2,4
M,18,GT3,T,2,1,services,services,mother,1,3,0,no,no,yes,yes,yes,yes,4,2,4,1,3,2,6
F,17,LE3,T,2,4,services,services,father,1,2,0,no,no,no,yes,yes,yes,4,3,2,1,1,5,0
M,15,GT3,T,4,2,health,services,mother,1,1,0,no,no,yes,no,yes,yes,2,2,4,2,4,1,4
M,15,LE3,T,2,2,services,health,mother,1,4,0,no,yes,no,yes,yes,yes,4,3,4,1,1,4,6
F,16,GT3,A,2,2,other,other,mother,1,2,0,yes,yes,yes,no,yes,yes,3,3,4,1,1,4,0
M,16,GT3,T,2,3,other,other,father,2,1,0,no,no,no,no,yes,yes,5,3,3,1,1,3,0
F,17,GT3,T,3,2,other,other,mother,1,2,0,no,no,no,yes,yes,yes,5,3,4,1,3,3,10
F,15,GT3,T,4,2,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,5,3,3,1,3,1,4
F,17,LE3,T,3,2,other,other,mother,2,2,0,no,no,yes,no,yes,yes,4,4,4,1,3,1,2
M,15,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,4
F,16,GT3,T,4,4,other,other,mother,1,1,0,no,no,no,yes,yes,yes,5,3,4,1,2,1,6
M,16,GT3,T,3,1,other,other,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,2
M,16,GT3,T,4,3,services,other,mother,2,1,0,yes,yes,no,yes,yes,yes,3,3,3,1,1,4,2
F,17,LE3,T,4,4,at_home,at_home,mother,1,2,0,no,yes,yes,yes,yes,yes,2,3,4,1,1,1,0
F,15,GT3,T,1,2,at_home,services,mother,1,2,0,no,no,no,no,yes,yes,3,2,3,1,2,1,2
F,17,GT3,T,4,3,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,4,4,3,1,3,4,0
M,18,LE3,T,3,2,services,other,mother,2,3,0,no,yes,yes,yes,yes,yes,5,4,2,1,1,4,8
F,17,GT3,T,3,4,services,other,mother,1,3,0,no,no,no,no,yes,yes,4,4,5,1,3,5,16
M,16,LE3,T,4,3,services,other,mother,1,2,0,no,yes,yes,yes,yes,yes,5,4,2,1,2,5,10
M,16,GT3,A,4,4,other,teacher,mother,2,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,7
F,15,GT3,T,4,4,teacher,teacher,mother,2,1,0,no,no,no,yes,yes,yes,4,3,2,1,1,5,0
F,16,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,no,yes,yes,yes,5,3,2,1,1,5,0
M,15,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,2,2,5,2
F,16,GT3,T,4,4,services,services,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,3,1,2,2,6
F,16,LE3,T,4,3,teacher,services,mother,3,2,0,no,yes,no,yes,yes,yes,5,4,3,1,2,1,2
M,15,GT3,T,3,4,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,5,5,1,1,1,5,0
F,15,GT3,A,4,3,services,services,mother,1,2,0,no,yes,yes,yes,yes,yes,4,3,2,1,1,1,0
M,15,GT3,T,4,4,health,health,father,1,1,0,no,yes,yes,no,yes,yes,5,4,2,1,1,5,0
M,18,GT3,T,2,1,other,other,mother,1,2,0,no,no,no,yes,yes,yes,5,2,4,1,2,4,8
F,20,GT3,T,4,2,health,other,other,2,3,2,no,yes,yes,no,yes,yes,5,4,3,1,1,3,4
M,15,GT3,T,4,3,teacher,other,mother,1,2,0,no,no,no,no,yes,yes,4,4,1,1,1,1,0
F,17,LE3,T,3,1,services,other,mother,2,4,0,no,yes,yes,no,yes,no,3,1,2,1,1,3,6
M,15,LE3,A,4,4,teacher,teacher,mother,1,1,0,no,no,no,yes,yes,yes,5,5,3,1,1,4,6
F,17,GT3,T,2,4,services,services,father,1,2,0,no,yes,no,yes,yes,no,5,4,2,2,3,5,0
M,18,LE3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,yes,no,yes,yes,1,4,2,2,2,1,5
M,15,GT3,T,4,4,services,services,mother,2,2,0,no,yes,no,yes,yes,yes,4,3,1,1,1,5,0
M,16,GT3,T,1,0,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,2
F,17,GT3,T,4,4,services,teacher,mother,2,1,1,no,yes,no,no,yes,yes,4,2,4,2,3,2,24
M,15,LE3,T,4,2,teacher,other,mother,1,1,0,no,no,no,no,yes,yes,3,5,2,1,1,3,10
M,15,GT3,A,3,4,services,other,mother,1,2,0,no,yes,yes,yes,yes,yes,5,4,4,1,1,1,0
F,16,GT3,T,2,3,services,teacher,mother,1,2,0,yes,no,no,no,yes,yes,2,3,1,1,1,3,2
F,18,GT3,T,2,2,at_home,at_home,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,2,2,5
M,18,GT3,T,4,3,teacher,services,mother,1,3,0,no,no,no,no,yes,yes,5,3,2,1,2,4,9
M,16,GT3,T,4,4,teacher,teacher,father,1,2,0,no,yes,no,yes,yes,yes,5,4,4,1,2,5,2
F,15,GT3,T,4,3,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,4,5,5,1,3,1,4
M,15,GT3,T,4,4,services,teacher,father,1,2,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,2
M,16,GT3,T,2,1,other,other,mother,3,1,0,no,no,no,no,yes,yes,4,3,3,1,1,4,6
F,18,LE3,T,3,3,services,services,mother,1,4,0,no,yes,no,no,yes,yes,5,3,3,1,1,1,7
M,17,LE3,T,3,1,services,services,mother,2,1,0,no,no,no,no,yes,yes,2,4,5,3,4,2,3
M,18,LE3,A,3,4,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,4,2,5,3,4,1,13
F,17,GT3,T,3,2,health,health,father,1,4,0,no,yes,yes,yes,yes,yes,5,2,2,1,2,5,0
F,16,GT3,T,4,2,services,other,mother,1,2,0,no,yes,no,no,yes,yes,4,2,3,1,1,5,2
M,15,LE3,A,3,2,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,2,2,1,1,1,0
F,15,LE3,T,3,1,other,other,father,2,4,0,no,yes,no,no,yes,yes,4,4,2,2,3,3,12
F,16,LE3,T,4,4,health,health,mother,1,3,0,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,4
M,15,LE3,T,4,3,teacher,services,mother,1,3,0,no,yes,no,yes,yes,yes,5,4,3,1,1,4,2
M,17,GT3,T,3,3,other,services,mother,1,1,0,no,no,no,yes,yes,yes,4,3,5,3,5,5,3
M,16,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,yes,yes,3,5,5,2,5,4,8
M,15,GT3,A,2,2,other,other,other,1,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0
F,16,GT3,T,4,2,health,services,father,1,2,0,no,no,yes,no,yes,yes,4,2,3,1,1,3,0
M,16,GT3,T,3,3,services,other,father,1,3,0,no,yes,no,yes,yes,yes,5,3,3,1,1,5,2
F,18,GT3,T,4,3,services,other,father,1,2,0,no,yes,yes,no,yes,yes,3,1,2,1,3,2,21
M,15,GT3,T,4,3,teacher,at_home,mother,1,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0
